DATE	NAME	MARKET	VOL(%)	MATURITY
30/09/2022	USD-TSLA.O	NASDAQ	61.41002751	365
29/09/2022	USD-TSLA.O	NASDAQ	59.31753123	365
28/09/2022	USD-TSLA.O	NASDAQ	59.844604	365
27/09/2022	USD-TSLA.O	NASDAQ	58.36906082	365
26/09/2022	USD-TSLA.O	NASDAQ	58.36365651	365
23/09/2022	USD-TSLA.O	NASDAQ	58.34744355	365
22/09/2022	USD-TSLA.O	NASDAQ	58.33706315	365
21/09/2022	USD-TSLA.O	NASDAQ	58.0505703	365
20/09/2022	USD-TSLA.O	NASDAQ	57.85410902	365
19/09/2022	USD-TSLA.O	NASDAQ	58.33435587	365
16/09/2022	USD-TSLA.O	NASDAQ	58.34578958	365
15/09/2022	USD-TSLA.O	NASDAQ	58.248376	365
14/09/2022	USD-TSLA.O	NASDAQ	56.91432832	365
13/09/2022	USD-TSLA.O	NASDAQ	56.90676064	365
12/09/2022	USD-TSLA.O	NASDAQ	57.57696999	365
09/09/2022	USD-TSLA.O	NASDAQ	57.56169798	365
08/09/2022	USD-TSLA.O	NASDAQ	58.08195715	365
07/09/2022	USD-TSLA.O	NASDAQ	58.62996854	365
06/09/2022	USD-TSLA.O	NASDAQ	58.74550781	365
05/09/2022	USD-TSLA.O	NASDAQ	58.74438118	365
02/09/2022	USD-TSLA.O	NASDAQ	58.21976514	365
01/09/2022	USD-TSLA.O	NASDAQ	57.96085123	365
31/08/2022	USD-TSLA.O	NASDAQ	58.86256397	365
30/08/2022	USD-TSLA.O	NASDAQ	58.77231492	365
29/08/2022	USD-TSLA.O	NASDAQ	59.13821015	365
26/08/2022	USD-TSLA.O	NASDAQ	58.40853773	365
25/08/2022	USD-TSLA.O	NASDAQ	58.93444262	365
24/08/2022	USD-TSLA.O	NASDAQ	59.03677446	365
23/08/2022	USD-TSLA.O	NASDAQ	58.86858324	365
22/08/2022	USD-TSLA.O	NASDAQ	58.60012063	365
19/08/2022	USD-TSLA.O	NASDAQ	58.28398963	365
18/08/2022	USD-TSLA.O	NASDAQ	58.43670654	365
17/08/2022	USD-TSLA.O	NASDAQ	58.90535775	365
16/08/2022	USD-TSLA.O	NASDAQ	58.89868519	365
15/08/2022	USD-TSLA.O	NASDAQ	58.89201263	365
12/08/2022	USD-TSLA.O	NASDAQ	58.87199495	365
11/08/2022	USD-TSLA.O	NASDAQ	59.27957877	365
10/08/2022	USD-TSLA.O	NASDAQ	60.01705992	365
09/08/2022	USD-TSLA.O	NASDAQ	58.58165098	365
08/08/2022	USD-TSLA.O	NASDAQ	58.57398227	365
05/08/2022	USD-TSLA.O	NASDAQ	58.55097616	365
04/08/2022	USD-TSLA.O	NASDAQ	58.54330746	365
03/08/2022	USD-TSLA.O	NASDAQ	58.53563876	365
02/08/2022	USD-TSLA.O	NASDAQ	58.52797005	365
01/08/2022	USD-TSLA.O	NASDAQ	58.52030135	365
29/07/2022	USD-TSLA.O	NASDAQ	59.48654618	365
28/07/2022	USD-TSLA.O	NASDAQ	59.55586723	365
27/07/2022	USD-TSLA.O	NASDAQ	61.47386957	365
26/07/2022	USD-TSLA.O	NASDAQ	61.16364091	365
25/07/2022	USD-TSLA.O	NASDAQ	61.36442114	365
22/07/2022	USD-TSLA.O	NASDAQ	61.41124254	365
21/07/2022	USD-TSLA.O	NASDAQ	62.18401415	365
20/07/2022	USD-TSLA.O	NASDAQ	62.31474673	365
19/07/2022	USD-TSLA.O	NASDAQ	63.00424337	365
18/07/2022	USD-TSLA.O	NASDAQ	63.12221016	365
15/07/2022	USD-TSLA.O	NASDAQ	63.83050781	365
14/07/2022	USD-TSLA.O	NASDAQ	64.00783154	365
13/07/2022	USD-TSLA.O	NASDAQ	64.17704429	365
12/07/2022	USD-TSLA.O	NASDAQ	64.35417114	365
11/07/2022	USD-TSLA.O	NASDAQ	63.52428829	365
08/07/2022	USD-TSLA.O	NASDAQ	63.88771985	365
07/07/2022	USD-TSLA.O	NASDAQ	64.783291	365
06/07/2022	USD-TSLA.O	NASDAQ	65.14136065	365
05/07/2022	USD-TSLA.O	NASDAQ	65.99158474	365
04/07/2022	USD-TSLA.O	NASDAQ	65.99774707	365
01/07/2022	USD-TSLA.O	NASDAQ	66.0180597	365
30/06/2022	USD-TSLA.O	NASDAQ	65.60091577	365
29/06/2022	USD-TSLA.O	NASDAQ	65.03891236	365
28/06/2022	USD-TSLA.O	NASDAQ	64.38062853	365
27/06/2022	USD-TSLA.O	NASDAQ	64.49934563	365
24/06/2022	USD-TSLA.O	NASDAQ	65.06032344	365
23/06/2022	USD-TSLA.O	NASDAQ	65.26156073	365
22/06/2022	USD-TSLA.O	NASDAQ	65.8356707	365
21/06/2022	USD-TSLA.O	NASDAQ	69.46542371	365
20/06/2022	USD-TSLA.O	NASDAQ	69.47897257	365
17/06/2022	USD-TSLA.O	NASDAQ	69.51961914	365
16/06/2022	USD-TSLA.O	NASDAQ	65.984311	365
15/06/2022	USD-TSLA.O	NASDAQ	66.8070488	365
14/06/2022	USD-TSLA.O	NASDAQ	66.85050841	365
13/06/2022	USD-TSLA.O	NASDAQ	64.91101982	365
10/06/2022	USD-TSLA.O	NASDAQ	64.11870154	365
09/06/2022	USD-TSLA.O	NASDAQ	63.35955023	365
08/06/2022	USD-TSLA.O	NASDAQ	63.98684209	365
07/06/2022	USD-TSLA.O	NASDAQ	65.32843362	365
06/06/2022	USD-TSLA.O	NASDAQ	66.12125533	365
03/06/2022	USD-TSLA.O	NASDAQ	64.24843971	365
02/06/2022	USD-TSLA.O	NASDAQ	64.43993969	365
01/06/2022	USD-TSLA.O	NASDAQ	64.65412673	365
31/05/2022	USD-TSLA.O	NASDAQ	64.18408089	365
30/05/2022	USD-TSLA.O	NASDAQ	64.19448476	365
27/05/2022	USD-TSLA.O	NASDAQ	66.12922226	365
26/05/2022	USD-TSLA.O	NASDAQ	66.14399408	365
25/05/2022	USD-TSLA.O	NASDAQ	68.28491668	365
24/05/2022	USD-TSLA.O	NASDAQ	67.17248618	365
23/05/2022	USD-TSLA.O	NASDAQ	69.46767704	365
20/05/2022	USD-TSLA.O	NASDAQ	64.75978973	365
19/05/2022	USD-TSLA.O	NASDAQ	66.123532	365
18/05/2022	USD-TSLA.O	NASDAQ	63.53768893	365
17/05/2022	USD-TSLA.O	NASDAQ	66.22779743	365
16/05/2022	USD-TSLA.O	NASDAQ	67.69479373	365
13/05/2022	USD-TSLA.O	NASDAQ	69.77712805	365
12/05/2022	USD-TSLA.O	NASDAQ	67.12898262	365
11/05/2022	USD-TSLA.O	NASDAQ	64.6832606	365
10/05/2022	USD-TSLA.O	NASDAQ	65.11771792	365
09/05/2022	USD-TSLA.O	NASDAQ	63.68465119	365
06/05/2022	USD-TSLA.O	NASDAQ	62.11145293	365
05/05/2022	USD-TSLA.O	NASDAQ	62.11427962	365
04/05/2022	USD-TSLA.O	NASDAQ	62.66524633	365
03/05/2022	USD-TSLA.O	NASDAQ	62.75821742	365
02/05/2022	USD-TSLA.O	NASDAQ	62.76569547	365
29/04/2022	USD-TSLA.O	NASDAQ	61.08134731	365
28/04/2022	USD-TSLA.O	NASDAQ	61.08702823	365
27/04/2022	USD-TSLA.O	NASDAQ	61.29919042	365
26/04/2022	USD-TSLA.O	NASDAQ	59.21295208	365
25/04/2022	USD-TSLA.O	NASDAQ	59.84284886	365
22/04/2022	USD-TSLA.O	NASDAQ	58.69835159	365
21/04/2022	USD-TSLA.O	NASDAQ	58.62790631	365
20/04/2022	USD-TSLA.O	NASDAQ	56.42849084	365
19/04/2022	USD-TSLA.O	NASDAQ	56.58059887	365
